datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-03-09T00:00:00+01:00,1,115.07,0.1151,11.51
2026-03-09T01:00:00+01:00,2,109.96,0.11,11.0
2026-03-09T02:00:00+01:00,3,106.92,0.1069,10.69
2026-03-09T03:00:00+01:00,4,105.24,0.1052,10.52
2026-03-09T04:00:00+01:00,5,109.51,0.1095,10.95
2026-03-09T05:00:00+01:00,6,129.38,0.1294,12.94
2026-03-09T06:00:00+01:00,7,153.8,0.1538,15.38
2026-03-09T07:00:00+01:00,8,191.49,0.1915,19.15
2026-03-09T08:00:00+01:00,9,179.78,0.1798,17.98
2026-03-09T09:00:00+01:00,10,136.51,0.1365,13.65
2026-03-09T10:00:00+01:00,11,113.06,0.1131,11.31
2026-03-09T11:00:00+01:00,12,92.65,0.0926,9.26
2026-03-09T12:00:00+01:00,13,79.28,0.0793,7.93
2026-03-09T13:00:00+01:00,14,76.41,0.0764,7.64
2026-03-09T14:00:00+01:00,15,83.35,0.0833,8.33
2026-03-09T15:00:00+01:00,16,108.64,0.1086,10.86
2026-03-09T16:00:00+01:00,17,132.11,0.1321,13.21
2026-03-09T17:00:00+01:00,18,174.51,0.1745,17.45
2026-03-09T18:00:00+01:00,19,228.04,0.228,22.8
2026-03-09T19:00:00+01:00,20,221.48,0.2215,22.15
2026-03-09T20:00:00+01:00,21,176.97,0.177,17.7
2026-03-09T21:00:00+01:00,22,151.78,0.1518,15.18
2026-03-09T22:00:00+01:00,23,144.26,0.1443,14.43
2026-03-09T23:00:00+01:00,24,134.09,0.1341,13.41
