datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-03-06T00:00:00+01:00,1,93.93,0.0939,9.39
2026-03-06T01:00:00+01:00,2,96.19,0.0962,9.62
2026-03-06T02:00:00+01:00,3,96.43,0.0964,9.64
2026-03-06T03:00:00+01:00,4,100.66,0.1007,10.07
2026-03-06T04:00:00+01:00,5,105.83,0.1058,10.58
2026-03-06T05:00:00+01:00,6,109.53,0.1095,10.95
2026-03-06T06:00:00+01:00,7,132.74,0.1327,13.27
2026-03-06T07:00:00+01:00,8,155.3,0.1553,15.53
2026-03-06T08:00:00+01:00,9,135.56,0.1356,13.56
2026-03-06T09:00:00+01:00,10,112.59,0.1126,11.26
2026-03-06T10:00:00+01:00,11,92.9,0.0929,9.29
2026-03-06T11:00:00+01:00,12,72.94,0.0729,7.29
2026-03-06T12:00:00+01:00,13,59.02,0.059,5.9
2026-03-06T13:00:00+01:00,14,52.09,0.0521,5.21
2026-03-06T14:00:00+01:00,15,74.16,0.0742,7.42
2026-03-06T15:00:00+01:00,16,98.38,0.0984,9.84
2026-03-06T16:00:00+01:00,17,120.94,0.1209,12.09
2026-03-06T17:00:00+01:00,18,159.5,0.1595,15.95
2026-03-06T18:00:00+01:00,19,195.2,0.1952,19.52
2026-03-06T19:00:00+01:00,20,173.97,0.174,17.4
2026-03-06T20:00:00+01:00,21,120.05,0.12,12.0
2026-03-06T21:00:00+01:00,22,127.23,0.1272,12.72
2026-03-06T22:00:00+01:00,23,117.98,0.118,11.8
2026-03-06T23:00:00+01:00,24,113.79,0.1138,11.38
