datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-06T00:00:00+02:00,1,119.11,0.1191,11.91
2026-05-06T01:00:00+02:00,2,113.02,0.113,11.3
2026-05-06T02:00:00+02:00,3,110.19,0.1102,11.02
2026-05-06T03:00:00+02:00,4,109.74,0.1097,10.97
2026-05-06T04:00:00+02:00,5,109.47,0.1095,10.95
2026-05-06T05:00:00+02:00,6,112.36,0.1124,11.24
2026-05-06T06:00:00+02:00,7,127.91,0.1279,12.79
2026-05-06T07:00:00+02:00,8,137.78,0.1378,13.78
2026-05-06T08:00:00+02:00,9,138.69,0.1387,13.87
2026-05-06T09:00:00+02:00,10,122.36,0.1224,12.24
2026-05-06T10:00:00+02:00,11,112.28,0.1123,11.23
2026-05-06T11:00:00+02:00,12,108.3,0.1083,10.83
2026-05-06T12:00:00+02:00,13,104.44,0.1044,10.44
2026-05-06T13:00:00+02:00,14,105.0,0.105,10.5
2026-05-06T14:00:00+02:00,15,92.84,0.0928,9.28
2026-05-06T15:00:00+02:00,16,111.71,0.1117,11.17
2026-05-06T16:00:00+02:00,17,108.95,0.109,10.9
2026-05-06T17:00:00+02:00,18,115.12,0.1151,11.51
2026-05-06T18:00:00+02:00,19,132.73,0.1327,13.27
2026-05-06T19:00:00+02:00,20,154.26,0.1543,15.43
2026-05-06T20:00:00+02:00,21,156.22,0.1562,15.62
2026-05-06T21:00:00+02:00,22,154.67,0.1547,15.47
2026-05-06T22:00:00+02:00,23,143.67,0.1437,14.37
2026-05-06T23:00:00+02:00,24,128.65,0.1286,12.86
