datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2025-12-09T00:00:00+01:00,1,64.55,0.0645,6.45
2025-12-09T01:00:00+01:00,2,63.5,0.0635,6.35
2025-12-09T02:00:00+01:00,3,63.49,0.0635,6.35
2025-12-09T03:00:00+01:00,4,61.22,0.0612,6.12
2025-12-09T04:00:00+01:00,5,57.88,0.0579,5.79
2025-12-09T05:00:00+01:00,6,65.87,0.0659,6.59
2025-12-09T06:00:00+01:00,7,79.78,0.0798,7.98
2025-12-09T07:00:00+01:00,8,90.24,0.0902,9.02
2025-12-09T08:00:00+01:00,9,104.63,0.1046,10.46
2025-12-09T09:00:00+01:00,10,99.64,0.0996,9.96
2025-12-09T10:00:00+01:00,11,87.48,0.0875,8.75
2025-12-09T11:00:00+01:00,12,82.25,0.0822,8.22
2025-12-09T12:00:00+01:00,13,78.64,0.0786,7.86
2025-12-09T13:00:00+01:00,14,80.42,0.0804,8.04
2025-12-09T14:00:00+01:00,15,79.83,0.0798,7.98
2025-12-09T15:00:00+01:00,16,89.97,0.09,9.0
2025-12-09T16:00:00+01:00,17,96.23,0.0962,9.62
2025-12-09T17:00:00+01:00,18,93.06,0.0931,9.31
2025-12-09T18:00:00+01:00,19,92.69,0.0927,9.27
2025-12-09T19:00:00+01:00,20,81.19,0.0812,8.12
2025-12-09T20:00:00+01:00,21,75.62,0.0756,7.56
2025-12-09T21:00:00+01:00,22,63.44,0.0634,6.34
2025-12-09T22:00:00+01:00,23,59.11,0.0591,5.91
2025-12-09T23:00:00+01:00,24,44.74,0.0447,4.47
