datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-02-14T00:00:00+01:00,1,80.77,0.0808,8.08
2026-02-14T01:00:00+01:00,2,72.9,0.0729,7.29
2026-02-14T02:00:00+01:00,3,68.39,0.0684,6.84
2026-02-14T03:00:00+01:00,4,67.12,0.0671,6.71
2026-02-14T04:00:00+01:00,5,65.0,0.065,6.5
2026-02-14T05:00:00+01:00,6,66.18,0.0662,6.62
2026-02-14T06:00:00+01:00,7,67.82,0.0678,6.78
2026-02-14T07:00:00+01:00,8,71.45,0.0714,7.14
2026-02-14T08:00:00+01:00,9,78.73,0.0787,7.87
2026-02-14T09:00:00+01:00,10,85.12,0.0851,8.51
2026-02-14T10:00:00+01:00,11,79.72,0.0797,7.97
2026-02-14T11:00:00+01:00,12,75.27,0.0753,7.53
2026-02-14T12:00:00+01:00,13,74.03,0.074,7.4
2026-02-14T13:00:00+01:00,14,71.58,0.0716,7.16
2026-02-14T14:00:00+01:00,15,74.18,0.0742,7.42
2026-02-14T15:00:00+01:00,16,80.79,0.0808,8.08
2026-02-14T16:00:00+01:00,17,89.11,0.0891,8.91
2026-02-14T17:00:00+01:00,18,100.25,0.1003,10.03
2026-02-14T18:00:00+01:00,19,122.55,0.1226,12.26
2026-02-14T19:00:00+01:00,20,127.77,0.1278,12.78
2026-02-14T20:00:00+01:00,21,117.53,0.1175,11.75
2026-02-14T21:00:00+01:00,22,107.57,0.1076,10.76
2026-02-14T22:00:00+01:00,23,105.89,0.1059,10.59
2026-02-14T23:00:00+01:00,24,97.62,0.0976,9.76
