datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-03-18T00:00:00+01:00,1,88.0,0.088,8.8
2026-03-18T01:00:00+01:00,2,82.93,0.0829,8.29
2026-03-18T02:00:00+01:00,3,85.23,0.0852,8.52
2026-03-18T03:00:00+01:00,4,84.11,0.0841,8.41
2026-03-18T04:00:00+01:00,5,87.38,0.0874,8.74
2026-03-18T05:00:00+01:00,6,95.07,0.0951,9.51
2026-03-18T06:00:00+01:00,7,114.21,0.1142,11.42
2026-03-18T07:00:00+01:00,8,129.28,0.1293,12.93
2026-03-18T08:00:00+01:00,9,93.91,0.0939,9.39
2026-03-18T09:00:00+01:00,10,52.51,0.0525,5.25
2026-03-18T10:00:00+01:00,11,9.18,0.0092,0.92
2026-03-18T11:00:00+01:00,12,-0.66,-0.0007,-0.07
2026-03-18T12:00:00+01:00,13,-1.3,-0.0013,-0.13
2026-03-18T13:00:00+01:00,14,-1.19,-0.0012,-0.12
2026-03-18T14:00:00+01:00,15,1.78,0.0018,0.18
2026-03-18T15:00:00+01:00,16,34.99,0.035,3.5
2026-03-18T16:00:00+01:00,17,86.41,0.0864,8.64
2026-03-18T17:00:00+01:00,18,131.47,0.1315,13.15
2026-03-18T18:00:00+01:00,19,168.87,0.1689,16.89
2026-03-18T19:00:00+01:00,20,159.65,0.1597,15.97
2026-03-18T20:00:00+01:00,21,122.69,0.1227,12.27
2026-03-18T21:00:00+01:00,22,109.69,0.1097,10.97
2026-03-18T22:00:00+01:00,23,108.09,0.1081,10.81
2026-03-18T23:00:00+01:00,24,99.85,0.0998,9.98
