datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-12T00:00:00+02:00,1,61.22,0.0612,6.12
2026-04-12T01:00:00+02:00,2,61.88,0.0619,6.19
2026-04-12T02:00:00+02:00,3,64.83,0.0648,6.48
2026-04-12T03:00:00+02:00,4,68.17,0.0682,6.82
2026-04-12T04:00:00+02:00,5,75.26,0.0753,7.53
2026-04-12T05:00:00+02:00,6,77.72,0.0777,7.77
2026-04-12T06:00:00+02:00,7,78.13,0.0781,7.81
2026-04-12T07:00:00+02:00,8,74.28,0.0743,7.43
2026-04-12T08:00:00+02:00,9,44.79,0.0448,4.48
2026-04-12T09:00:00+02:00,10,30.09,0.0301,3.01
2026-04-12T10:00:00+02:00,11,15.94,0.0159,1.59
2026-04-12T11:00:00+02:00,12,8.94,0.0089,0.89
2026-04-12T12:00:00+02:00,13,10.52,0.0105,1.05
2026-04-12T13:00:00+02:00,14,0.43,0.0004,0.04
2026-04-12T14:00:00+02:00,15,5.0,0.005,0.5
2026-04-12T15:00:00+02:00,16,15.94,0.0159,1.59
2026-04-12T16:00:00+02:00,17,44.09,0.0441,4.41
2026-04-12T17:00:00+02:00,18,76.16,0.0762,7.62
2026-04-12T18:00:00+02:00,19,125.28,0.1253,12.53
2026-04-12T19:00:00+02:00,20,141.63,0.1416,14.16
2026-04-12T20:00:00+02:00,21,142.67,0.1427,14.27
2026-04-12T21:00:00+02:00,22,136.73,0.1367,13.67
2026-04-12T22:00:00+02:00,23,130.6,0.1306,13.06
2026-04-12T23:00:00+02:00,24,121.0,0.121,12.1
