datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-08-22T00:00:00+02:00,1,168.6,0.1686,16.86
2026-08-22T01:00:00+02:00,2,161.56,0.1616,16.16
2026-08-22T02:00:00+02:00,3,158.71,0.1587,15.87
2026-08-22T03:00:00+02:00,4,154.45,0.1545,15.45
2026-08-22T04:00:00+02:00,5,148.91,0.1489,14.89
2026-08-22T05:00:00+02:00,6,146.71,0.1467,14.67
2026-08-22T06:00:00+02:00,7,154.02,0.154,15.4
2026-08-22T07:00:00+02:00,8,144.12,0.1441,14.41
2026-08-22T08:00:00+02:00,9,128.13,0.1281,12.81
2026-08-22T09:00:00+02:00,10,89.44,0.0894,8.94
2026-08-22T10:00:00+02:00,11,45.47,0.0455,4.55
2026-08-22T11:00:00+02:00,12,13.88,0.0139,1.39
2026-08-22T12:00:00+02:00,13,1.0,0.001,0.1
2026-08-22T13:00:00+02:00,14,-0.01,-0.0,-0.0
2026-08-22T15:00:00+02:00,15,-0.03,-0.0,-0.0
2026-08-22T16:00:00+02:00,16,0.59,0.0006,0.06
2026-08-22T17:00:00+02:00,17,28.24,0.0282,2.82
2026-08-22T18:00:00+02:00,18,106.76,0.1068,10.68
2026-08-22T19:00:00+02:00,19,151.07,0.1511,15.11
2026-08-22T20:00:00+02:00,20,168.26,0.1683,16.83
2026-08-22T21:00:00+02:00,21,172.5,0.1725,17.25
2026-08-22T22:00:00+02:00,22,167.49,0.1675,16.75
2026-08-22T23:00:00+02:00,23,158.66,0.1587,15.87
