datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-02-18T00:00:00+01:00,1,83.83,0.0838,8.38
2026-02-18T01:00:00+01:00,2,78.71,0.0787,7.87
2026-02-18T02:00:00+01:00,3,79.84,0.0798,7.98
2026-02-18T03:00:00+01:00,4,75.74,0.0757,7.57
2026-02-18T04:00:00+01:00,5,76.66,0.0767,7.67
2026-02-18T05:00:00+01:00,6,82.94,0.0829,8.29
2026-02-18T06:00:00+01:00,7,99.5,0.0995,9.95
2026-02-18T07:00:00+01:00,8,111.94,0.1119,11.19
2026-02-18T08:00:00+01:00,9,120.0,0.12,12.0
2026-02-18T09:00:00+01:00,10,99.73,0.0997,9.97
2026-02-18T10:00:00+01:00,11,95.75,0.0957,9.57
2026-02-18T11:00:00+01:00,12,82.55,0.0825,8.25
2026-02-18T12:00:00+01:00,13,77.28,0.0773,7.73
2026-02-18T13:00:00+01:00,14,70.28,0.0703,7.03
2026-02-18T14:00:00+01:00,15,71.28,0.0713,7.13
2026-02-18T15:00:00+01:00,16,80.88,0.0809,8.09
2026-02-18T16:00:00+01:00,17,90.06,0.0901,9.01
2026-02-18T17:00:00+01:00,18,93.21,0.0932,9.32
2026-02-18T18:00:00+01:00,19,105.11,0.1051,10.51
2026-02-18T19:00:00+01:00,20,100.72,0.1007,10.07
2026-02-18T20:00:00+01:00,21,83.66,0.0837,8.37
2026-02-18T21:00:00+01:00,22,77.72,0.0777,7.77
2026-02-18T22:00:00+01:00,23,76.78,0.0768,7.68
2026-02-18T23:00:00+01:00,24,71.22,0.0712,7.12
