datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-08-24T00:00:00+02:00,1,167.67,0.1677,16.77
2026-08-24T01:00:00+02:00,2,159.24,0.1592,15.92
2026-08-24T02:00:00+02:00,3,157.52,0.1575,15.75
2026-08-24T03:00:00+02:00,4,153.63,0.1536,15.36
2026-08-24T04:00:00+02:00,5,149.48,0.1495,14.95
2026-08-24T05:00:00+02:00,6,160.11,0.1601,16.01
2026-08-24T06:00:00+02:00,7,184.3,0.1843,18.43
2026-08-24T07:00:00+02:00,8,205.95,0.2059,20.59
2026-08-24T08:00:00+02:00,9,188.95,0.1889,18.89
2026-08-24T09:00:00+02:00,10,161.38,0.1614,16.14
2026-08-24T10:00:00+02:00,11,99.97,0.1,10.0
2026-08-24T11:00:00+02:00,12,63.99,0.064,6.4
2026-08-24T12:00:00+02:00,13,50.0,0.05,5.0
2026-08-24T13:00:00+02:00,14,29.55,0.0296,2.96
2026-08-24T14:00:00+02:00,15,33.44,0.0334,3.34
2026-08-24T15:00:00+02:00,16,62.02,0.062,6.2
2026-08-24T16:00:00+02:00,17,92.22,0.0922,9.22
2026-08-24T17:00:00+02:00,18,136.07,0.1361,13.61
2026-08-24T18:00:00+02:00,19,172.43,0.1724,17.24
2026-08-24T19:00:00+02:00,20,197.28,0.1973,19.73
2026-08-24T20:00:00+02:00,21,193.4,0.1934,19.34
2026-08-24T21:00:00+02:00,22,188.46,0.1885,18.85
2026-08-24T22:00:00+02:00,23,172.4,0.1724,17.24
2026-08-24T23:00:00+02:00,24,155.06,0.1551,15.51
