datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-01-27T00:00:00+01:00,1,111.7,0.1117,11.17
2026-01-27T01:00:00+01:00,2,105.59,0.1056,10.56
2026-01-27T02:00:00+01:00,3,98.08,0.0981,9.81
2026-01-27T03:00:00+01:00,4,88.49,0.0885,8.85
2026-01-27T04:00:00+01:00,5,85.77,0.0858,8.58
2026-01-27T05:00:00+01:00,6,90.46,0.0905,9.05
2026-01-27T06:00:00+01:00,7,95.55,0.0955,9.55
2026-01-27T07:00:00+01:00,8,120.16,0.1202,12.02
2026-01-27T08:00:00+01:00,9,122.2,0.1222,12.22
2026-01-27T09:00:00+01:00,10,135.75,0.1357,13.57
2026-01-27T10:00:00+01:00,11,136.19,0.1362,13.62
2026-01-27T11:00:00+01:00,12,128.17,0.1282,12.82
2026-01-27T12:00:00+01:00,13,124.17,0.1242,12.42
2026-01-27T13:00:00+01:00,14,114.09,0.1141,11.41
2026-01-27T14:00:00+01:00,15,123.57,0.1236,12.36
2026-01-27T15:00:00+01:00,16,124.06,0.1241,12.41
2026-01-27T16:00:00+01:00,17,125.53,0.1255,12.55
2026-01-27T17:00:00+01:00,18,136.59,0.1366,13.66
2026-01-27T18:00:00+01:00,19,141.8,0.1418,14.18
2026-01-27T19:00:00+01:00,20,139.99,0.14,14.0
2026-01-27T20:00:00+01:00,21,123.13,0.1231,12.31
2026-01-27T21:00:00+01:00,22,118.1,0.1181,11.81
2026-01-27T22:00:00+01:00,23,119.18,0.1192,11.92
2026-01-27T23:00:00+01:00,24,110.88,0.1109,11.09
