datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-21T00:00:00+02:00,1,128.26,0.1283,12.83
2026-05-21T01:00:00+02:00,2,117.13,0.1171,11.71
2026-05-21T02:00:00+02:00,3,110.81,0.1108,11.08
2026-05-21T03:00:00+02:00,4,110.34,0.1103,11.03
2026-05-21T04:00:00+02:00,5,111.96,0.112,11.2
2026-05-21T05:00:00+02:00,6,121.61,0.1216,12.16
2026-05-21T06:00:00+02:00,7,137.11,0.1371,13.71
2026-05-21T07:00:00+02:00,8,141.32,0.1413,14.13
2026-05-21T08:00:00+02:00,9,141.75,0.1417,14.17
2026-05-21T09:00:00+02:00,10,137.7,0.1377,13.77
2026-05-21T10:00:00+02:00,11,73.66,0.0737,7.37
2026-05-21T11:00:00+02:00,12,35.25,0.0353,3.53
2026-05-21T12:00:00+02:00,13,9.61,0.0096,0.96
2026-05-21T13:00:00+02:00,14,5.56,0.0056,0.56
2026-05-21T14:00:00+02:00,15,6.33,0.0063,0.63
2026-05-21T15:00:00+02:00,16,28.38,0.0284,2.84
2026-05-21T16:00:00+02:00,17,59.17,0.0592,5.92
2026-05-21T17:00:00+02:00,18,122.27,0.1223,12.23
2026-05-21T18:00:00+02:00,19,131.89,0.1319,13.19
2026-05-21T19:00:00+02:00,20,153.72,0.1537,15.37
2026-05-21T20:00:00+02:00,21,189.51,0.1895,18.95
2026-05-21T21:00:00+02:00,22,179.88,0.1799,17.99
2026-05-21T22:00:00+02:00,23,160.48,0.1605,16.05
2026-05-21T23:00:00+02:00,24,144.55,0.1445,14.45
