datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-25T00:00:00+02:00,1,102.79,0.1028,10.28
2026-04-25T01:00:00+02:00,2,98.63,0.0986,9.86
2026-04-25T02:00:00+02:00,3,101.41,0.1014,10.14
2026-04-25T03:00:00+02:00,4,108.18,0.1082,10.82
2026-04-25T04:00:00+02:00,5,88.77,0.0888,8.88
2026-04-25T05:00:00+02:00,6,88.24,0.0882,8.82
2026-04-25T06:00:00+02:00,7,90.83,0.0908,9.08
2026-04-25T07:00:00+02:00,8,84.42,0.0844,8.44
2026-04-25T08:00:00+02:00,9,88.67,0.0887,8.87
2026-04-25T09:00:00+02:00,10,19.94,0.0199,1.99
2026-04-25T10:00:00+02:00,11,-5.19,-0.0052,-0.52
2026-04-25T11:00:00+02:00,12,-42.08,-0.0421,-4.21
2026-04-25T12:00:00+02:00,13,-100.12,-0.1001,-10.01
2026-04-25T13:00:00+02:00,14,-175.57,-0.1756,-17.56
2026-04-25T14:00:00+02:00,15,-189.82,-0.1898,-18.98
2026-04-25T15:00:00+02:00,16,-133.32,-0.1333,-13.33
2026-04-25T16:00:00+02:00,17,-53.54,-0.0535,-5.35
2026-04-25T17:00:00+02:00,18,-3.35,-0.0033,-0.33
2026-04-25T18:00:00+02:00,19,47.37,0.0474,4.74
2026-04-25T19:00:00+02:00,20,90.36,0.0904,9.04
2026-04-25T20:00:00+02:00,21,99.94,0.0999,9.99
2026-04-25T21:00:00+02:00,22,100.66,0.1007,10.07
2026-04-25T22:00:00+02:00,23,98.63,0.0986,9.86
2026-04-25T23:00:00+02:00,24,94.13,0.0941,9.41
