datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-04T00:00:00+02:00,1,117.05,0.117,11.7
2026-05-04T01:00:00+02:00,2,108.2,0.1082,10.82
2026-05-04T02:00:00+02:00,3,110.42,0.1104,11.04
2026-05-04T03:00:00+02:00,4,106.28,0.1063,10.63
2026-05-04T04:00:00+02:00,5,107.76,0.1078,10.78
2026-05-04T05:00:00+02:00,6,117.17,0.1172,11.72
2026-05-04T06:00:00+02:00,7,139.57,0.1396,13.96
2026-05-04T07:00:00+02:00,8,151.95,0.152,15.2
2026-05-04T08:00:00+02:00,9,136.0,0.136,13.6
2026-05-04T09:00:00+02:00,10,121.98,0.122,12.2
2026-05-04T10:00:00+02:00,11,115.53,0.1155,11.55
2026-05-04T11:00:00+02:00,12,108.36,0.1084,10.84
2026-05-04T12:00:00+02:00,13,97.67,0.0977,9.77
2026-05-04T13:00:00+02:00,14,90.28,0.0903,9.03
2026-05-04T14:00:00+02:00,15,102.26,0.1023,10.23
2026-05-04T15:00:00+02:00,16,106.41,0.1064,10.64
2026-05-04T16:00:00+02:00,17,105.98,0.106,10.6
2026-05-04T17:00:00+02:00,18,114.98,0.115,11.5
2026-05-04T18:00:00+02:00,19,143.29,0.1433,14.33
2026-05-04T19:00:00+02:00,20,155.55,0.1556,15.56
2026-05-04T20:00:00+02:00,21,169.15,0.1691,16.91
2026-05-04T21:00:00+02:00,22,159.98,0.16,16.0
2026-05-04T22:00:00+02:00,23,150.13,0.1501,15.01
2026-05-04T23:00:00+02:00,24,133.7,0.1337,13.37
