datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-06-11T00:00:00+02:00,1,140.62,0.1406,14.06
2026-06-11T01:00:00+02:00,2,128.87,0.1289,12.89
2026-06-11T02:00:00+02:00,3,121.31,0.1213,12.13
2026-06-11T03:00:00+02:00,4,118.81,0.1188,11.88
2026-06-11T04:00:00+02:00,5,119.04,0.119,11.9
2026-06-11T05:00:00+02:00,6,121.52,0.1215,12.15
2026-06-11T06:00:00+02:00,7,135.88,0.1359,13.59
2026-06-11T07:00:00+02:00,8,140.41,0.1404,14.04
2026-06-11T08:00:00+02:00,9,127.92,0.1279,12.79
2026-06-11T09:00:00+02:00,10,124.1,0.1241,12.41
2026-06-11T10:00:00+02:00,11,109.0,0.109,10.9
2026-06-11T11:00:00+02:00,12,82.5,0.0825,8.25
2026-06-11T12:00:00+02:00,13,76.56,0.0766,7.66
2026-06-11T13:00:00+02:00,14,76.81,0.0768,7.68
2026-06-11T14:00:00+02:00,15,74.12,0.0741,7.41
2026-06-11T15:00:00+02:00,16,96.77,0.0968,9.68
2026-06-11T16:00:00+02:00,17,90.97,0.091,9.1
2026-06-11T17:00:00+02:00,18,113.53,0.1135,11.35
2026-06-11T18:00:00+02:00,19,121.42,0.1214,12.14
2026-06-11T19:00:00+02:00,20,128.65,0.1287,12.87
2026-06-11T20:00:00+02:00,21,135.04,0.135,13.5
2026-06-11T21:00:00+02:00,22,127.74,0.1277,12.77
2026-06-11T22:00:00+02:00,23,119.55,0.1195,11.95
2026-06-11T23:00:00+02:00,24,95.74,0.0957,9.57
