datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-01-28T00:00:00+01:00,1,104.81,0.1048,10.48
2026-01-28T01:00:00+01:00,2,104.28,0.1043,10.43
2026-01-28T02:00:00+01:00,3,103.96,0.104,10.4
2026-01-28T03:00:00+01:00,4,100.07,0.1001,10.01
2026-01-28T04:00:00+01:00,5,102.16,0.1022,10.22
2026-01-28T05:00:00+01:00,6,105.78,0.1058,10.58
2026-01-28T06:00:00+01:00,7,116.92,0.1169,11.69
2026-01-28T07:00:00+01:00,8,144.78,0.1448,14.48
2026-01-28T08:00:00+01:00,9,171.0,0.171,17.1
2026-01-28T09:00:00+01:00,10,173.94,0.1739,17.39
2026-01-28T10:00:00+01:00,11,170.62,0.1706,17.06
2026-01-28T11:00:00+01:00,12,159.11,0.1591,15.91
2026-01-28T12:00:00+01:00,13,151.45,0.1515,15.15
2026-01-28T13:00:00+01:00,14,143.32,0.1433,14.33
2026-01-28T14:00:00+01:00,15,141.87,0.1419,14.19
2026-01-28T15:00:00+01:00,16,140.74,0.1407,14.07
2026-01-28T16:00:00+01:00,17,147.13,0.1471,14.71
2026-01-28T17:00:00+01:00,18,163.78,0.1638,16.38
2026-01-28T18:00:00+01:00,19,170.43,0.1704,17.04
2026-01-28T19:00:00+01:00,20,161.22,0.1612,16.12
2026-01-28T20:00:00+01:00,21,134.34,0.1343,13.43
2026-01-28T21:00:00+01:00,22,119.01,0.119,11.9
2026-01-28T22:00:00+01:00,23,118.06,0.1181,11.81
2026-01-28T23:00:00+01:00,24,111.14,0.1111,11.11
