datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-28T00:00:00+02:00,1,127.83,0.1278,12.78
2026-05-28T01:00:00+02:00,2,124.56,0.1246,12.46
2026-05-28T02:00:00+02:00,3,120.43,0.1204,12.04
2026-05-28T03:00:00+02:00,4,118.23,0.1182,11.82
2026-05-28T04:00:00+02:00,5,123.64,0.1236,12.36
2026-05-28T05:00:00+02:00,6,130.68,0.1307,13.07
2026-05-28T06:00:00+02:00,7,143.54,0.1435,14.35
2026-05-28T07:00:00+02:00,8,136.35,0.1363,13.63
2026-05-28T08:00:00+02:00,9,121.53,0.1215,12.15
2026-05-28T09:00:00+02:00,10,85.12,0.0851,8.51
2026-05-28T10:00:00+02:00,11,19.5,0.0195,1.95
2026-05-28T11:00:00+02:00,12,0.57,0.0006,0.06
2026-05-28T12:00:00+02:00,13,0.02,0.0,0.0
2026-05-28T13:00:00+02:00,14,0.01,0.0,0.0
2026-05-28T14:00:00+02:00,15,0.01,0.0,0.0
2026-05-28T15:00:00+02:00,16,1.73,0.0017,0.17
2026-05-28T16:00:00+02:00,17,36.14,0.0361,3.61
2026-05-28T17:00:00+02:00,18,95.65,0.0956,9.56
2026-05-28T18:00:00+02:00,19,135.89,0.1359,13.59
2026-05-28T19:00:00+02:00,20,199.8,0.1998,19.98
2026-05-28T20:00:00+02:00,21,369.91,0.3699,36.99
2026-05-28T21:00:00+02:00,22,356.84,0.3568,35.68
2026-05-28T22:00:00+02:00,23,207.44,0.2074,20.74
2026-05-28T23:00:00+02:00,24,156.28,0.1563,15.63
