datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-22T00:00:00+02:00,1,91.08,0.0911,9.11
2026-04-22T01:00:00+02:00,2,91.56,0.0916,9.16
2026-04-22T02:00:00+02:00,3,92.19,0.0922,9.22
2026-04-22T03:00:00+02:00,4,93.56,0.0936,9.36
2026-04-22T04:00:00+02:00,5,85.64,0.0856,8.56
2026-04-22T05:00:00+02:00,6,92.98,0.093,9.3
2026-04-22T06:00:00+02:00,7,113.57,0.1136,11.36
2026-04-22T07:00:00+02:00,8,147.76,0.1478,14.78
2026-04-22T08:00:00+02:00,9,123.8,0.1238,12.38
2026-04-22T09:00:00+02:00,10,100.0,0.1,10.0
2026-04-22T10:00:00+02:00,11,15.53,0.0155,1.55
2026-04-22T11:00:00+02:00,12,-1.01,-0.001,-0.1
2026-04-22T12:00:00+02:00,13,-5.46,-0.0055,-0.55
2026-04-22T13:00:00+02:00,14,-18.88,-0.0189,-1.89
2026-04-22T14:00:00+02:00,15,-17.65,-0.0176,-1.76
2026-04-22T15:00:00+02:00,16,-4.09,-0.0041,-0.41
2026-04-22T16:00:00+02:00,17,0.64,0.0006,0.06
2026-04-22T17:00:00+02:00,18,43.25,0.0432,4.32
2026-04-22T18:00:00+02:00,19,81.07,0.0811,8.11
2026-04-22T19:00:00+02:00,20,115.0,0.115,11.5
2026-04-22T20:00:00+02:00,21,120.39,0.1204,12.04
2026-04-22T21:00:00+02:00,22,110.0,0.11,11.0
2026-04-22T22:00:00+02:00,23,113.75,0.1138,11.38
2026-04-22T23:00:00+02:00,24,89.92,0.0899,8.99
