datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-07-13T00:00:00+02:00,1,129.73,0.1297,12.97
2026-07-13T01:00:00+02:00,2,123.69,0.1237,12.37
2026-07-13T02:00:00+02:00,3,119.41,0.1194,11.94
2026-07-13T03:00:00+02:00,4,120.28,0.1203,12.03
2026-07-13T04:00:00+02:00,5,123.3,0.1233,12.33
2026-07-13T05:00:00+02:00,6,132.04,0.132,13.2
2026-07-13T06:00:00+02:00,7,147.41,0.1474,14.74
2026-07-13T07:00:00+02:00,8,142.81,0.1428,14.28
2026-07-13T08:00:00+02:00,9,137.13,0.1371,13.71
2026-07-13T09:00:00+02:00,10,121.62,0.1216,12.16
2026-07-13T10:00:00+02:00,11,98.63,0.0986,9.86
2026-07-13T11:00:00+02:00,12,75.35,0.0754,7.54
2026-07-13T12:00:00+02:00,13,68.16,0.0682,6.82
2026-07-13T13:00:00+02:00,14,56.5,0.0565,5.65
2026-07-13T14:00:00+02:00,15,73.21,0.0732,7.32
2026-07-13T15:00:00+02:00,16,88.42,0.0884,8.84
2026-07-13T16:00:00+02:00,17,95.89,0.0959,9.59
2026-07-13T17:00:00+02:00,18,121.7,0.1217,12.17
2026-07-13T18:00:00+02:00,19,129.26,0.1293,12.93
2026-07-13T19:00:00+02:00,20,141.03,0.141,14.1
2026-07-13T20:00:00+02:00,21,157.56,0.1576,15.76
2026-07-13T21:00:00+02:00,22,166.14,0.1661,16.61
2026-07-13T22:00:00+02:00,23,159.07,0.1591,15.91
2026-07-13T23:00:00+02:00,24,144.06,0.1441,14.41
