datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-07-23T00:00:00+02:00,1,148.7,0.1487,14.87
2026-07-23T01:00:00+02:00,2,141.78,0.1418,14.18
2026-07-23T02:00:00+02:00,3,136.99,0.137,13.7
2026-07-23T03:00:00+02:00,4,134.51,0.1345,13.45
2026-07-23T04:00:00+02:00,5,137.83,0.1378,13.78
2026-07-23T05:00:00+02:00,6,145.06,0.1451,14.51
2026-07-23T06:00:00+02:00,7,160.21,0.1602,16.02
2026-07-23T07:00:00+02:00,8,168.12,0.1681,16.81
2026-07-23T08:00:00+02:00,9,159.56,0.1596,15.96
2026-07-23T09:00:00+02:00,10,134.14,0.1341,13.41
2026-07-23T10:00:00+02:00,11,122.66,0.1227,12.27
2026-07-23T11:00:00+02:00,12,117.09,0.1171,11.71
2026-07-23T12:00:00+02:00,13,55.32,0.0553,5.53
2026-07-23T13:00:00+02:00,14,19.67,0.0197,1.97
2026-07-23T14:00:00+02:00,15,5.38,0.0054,0.54
2026-07-23T15:00:00+02:00,16,8.57,0.0086,0.86
2026-07-23T16:00:00+02:00,17,31.85,0.0319,3.19
2026-07-23T17:00:00+02:00,18,96.74,0.0967,9.67
2026-07-23T18:00:00+02:00,19,142.69,0.1427,14.27
2026-07-23T19:00:00+02:00,20,166.1,0.1661,16.61
2026-07-23T20:00:00+02:00,21,185.34,0.1853,18.53
2026-07-23T21:00:00+02:00,22,190.0,0.19,19.0
2026-07-23T22:00:00+02:00,23,186.54,0.1865,18.65
2026-07-23T23:00:00+02:00,24,170.42,0.1704,17.04
