datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2025-12-23T00:00:00+01:00,1,73.93,0.0739,7.39
2025-12-23T01:00:00+01:00,2,67.14,0.0671,6.71
2025-12-23T02:00:00+01:00,3,62.64,0.0626,6.26
2025-12-23T03:00:00+01:00,4,59.81,0.0598,5.98
2025-12-23T04:00:00+01:00,5,57.96,0.058,5.8
2025-12-23T05:00:00+01:00,6,59.33,0.0593,5.93
2025-12-23T06:00:00+01:00,7,68.83,0.0688,6.88
2025-12-23T07:00:00+01:00,8,79.83,0.0798,7.98
2025-12-23T08:00:00+01:00,9,86.27,0.0863,8.63
2025-12-23T09:00:00+01:00,10,88.93,0.0889,8.89
2025-12-23T10:00:00+01:00,11,86.53,0.0865,8.65
2025-12-23T11:00:00+01:00,12,83.4,0.0834,8.34
2025-12-23T12:00:00+01:00,13,82.87,0.0829,8.29
2025-12-23T13:00:00+01:00,14,80.86,0.0809,8.09
2025-12-23T14:00:00+01:00,15,80.74,0.0807,8.07
2025-12-23T15:00:00+01:00,16,83.47,0.0835,8.35
2025-12-23T16:00:00+01:00,17,85.88,0.0859,8.59
2025-12-23T17:00:00+01:00,18,85.58,0.0856,8.56
2025-12-23T18:00:00+01:00,19,85.14,0.0851,8.51
2025-12-23T19:00:00+01:00,20,83.68,0.0837,8.37
2025-12-23T20:00:00+01:00,21,78.57,0.0786,7.86
2025-12-23T21:00:00+01:00,22,70.07,0.0701,7.01
2025-12-23T22:00:00+01:00,23,71.64,0.0716,7.16
2025-12-23T23:00:00+01:00,24,63.94,0.0639,6.39
