datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-01-08T00:00:00+01:00,1,83.96,0.084,8.4
2026-01-08T01:00:00+01:00,2,82.75,0.0828,8.28
2026-01-08T02:00:00+01:00,3,84.52,0.0845,8.45
2026-01-08T03:00:00+01:00,4,82.47,0.0825,8.25
2026-01-08T04:00:00+01:00,5,85.14,0.0851,8.51
2026-01-08T05:00:00+01:00,6,87.48,0.0875,8.75
2026-01-08T06:00:00+01:00,7,98.13,0.0981,9.81
2026-01-08T07:00:00+01:00,8,126.82,0.1268,12.68
2026-01-08T08:00:00+01:00,9,169.47,0.1695,16.95
2026-01-08T09:00:00+01:00,10,190.77,0.1908,19.08
2026-01-08T10:00:00+01:00,11,193.67,0.1937,19.37
2026-01-08T11:00:00+01:00,12,185.97,0.186,18.6
2026-01-08T12:00:00+01:00,13,179.53,0.1795,17.95
2026-01-08T13:00:00+01:00,14,184.78,0.1848,18.48
2026-01-08T14:00:00+01:00,15,193.14,0.1931,19.31
2026-01-08T15:00:00+01:00,16,187.63,0.1876,18.76
2026-01-08T16:00:00+01:00,17,182.73,0.1827,18.27
2026-01-08T17:00:00+01:00,18,169.57,0.1696,16.96
2026-01-08T18:00:00+01:00,19,153.35,0.1534,15.34
2026-01-08T19:00:00+01:00,20,120.36,0.1204,12.04
2026-01-08T20:00:00+01:00,21,96.47,0.0965,9.65
2026-01-08T21:00:00+01:00,22,91.48,0.0915,9.15
2026-01-08T22:00:00+01:00,23,88.07,0.0881,8.81
2026-01-08T23:00:00+01:00,24,76.94,0.0769,7.69
