datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-08-20T00:00:00+02:00,1,172.71,0.1727,17.27
2026-08-20T01:00:00+02:00,2,162.35,0.1623,16.23
2026-08-20T02:00:00+02:00,3,153.73,0.1537,15.37
2026-08-20T03:00:00+02:00,4,148.0,0.148,14.8
2026-08-20T04:00:00+02:00,5,148.39,0.1484,14.84
2026-08-20T05:00:00+02:00,6,158.78,0.1588,15.88
2026-08-20T06:00:00+02:00,7,173.04,0.173,17.3
2026-08-20T07:00:00+02:00,8,182.89,0.1829,18.29
2026-08-20T08:00:00+02:00,9,171.75,0.1717,17.17
2026-08-20T09:00:00+02:00,10,154.5,0.1545,15.45
2026-08-20T10:00:00+02:00,11,135.74,0.1357,13.57
2026-08-20T11:00:00+02:00,12,110.94,0.1109,11.09
2026-08-20T12:00:00+02:00,13,87.44,0.0874,8.74
2026-08-20T13:00:00+02:00,14,68.68,0.0687,6.87
2026-08-20T14:00:00+02:00,15,71.47,0.0715,7.15
2026-08-20T15:00:00+02:00,16,88.83,0.0888,8.88
2026-08-20T16:00:00+02:00,17,102.75,0.1028,10.28
2026-08-20T17:00:00+02:00,18,140.65,0.1406,14.06
2026-08-20T18:00:00+02:00,19,161.66,0.1617,16.17
2026-08-20T19:00:00+02:00,20,176.69,0.1767,17.67
2026-08-20T20:00:00+02:00,21,192.15,0.1921,19.21
2026-08-20T21:00:00+02:00,22,195.62,0.1956,19.56
2026-08-20T22:00:00+02:00,23,187.93,0.1879,18.79
2026-08-20T23:00:00+02:00,24,173.02,0.173,17.3
