datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-08-23T00:00:00+02:00,1,140.63,0.1406,14.06
2026-08-23T01:00:00+02:00,2,130.66,0.1307,13.07
2026-08-23T02:00:00+02:00,3,123.71,0.1237,12.37
2026-08-23T03:00:00+02:00,4,118.99,0.119,11.9
2026-08-23T04:00:00+02:00,5,116.36,0.1164,11.64
2026-08-23T05:00:00+02:00,6,118.54,0.1185,11.85
2026-08-23T06:00:00+02:00,7,118.43,0.1184,11.84
2026-08-23T07:00:00+02:00,8,102.09,0.1021,10.21
2026-08-23T08:00:00+02:00,9,51.95,0.0519,5.19
2026-08-23T09:00:00+02:00,10,1.24,0.0012,0.12
2026-08-23T10:00:00+02:00,11,-0.15,-0.0002,-0.02
2026-08-23T11:00:00+02:00,12,-1.23,-0.0012,-0.12
2026-08-23T12:00:00+02:00,13,-2.23,-0.0022,-0.22
2026-08-23T13:00:00+02:00,14,-4.08,-0.0041,-0.41
2026-08-23T14:00:00+02:00,15,-3.42,-0.0034,-0.34
2026-08-23T15:00:00+02:00,16,-1.04,-0.001,-0.1
2026-08-23T16:00:00+02:00,17,0.84,0.0008,0.08
2026-08-23T17:00:00+02:00,18,42.86,0.0429,4.29
2026-08-23T18:00:00+02:00,19,136.51,0.1365,13.65
2026-08-23T19:00:00+02:00,20,172.14,0.1721,17.21
2026-08-23T20:00:00+02:00,21,179.93,0.1799,17.99
2026-08-23T21:00:00+02:00,22,191.12,0.1911,19.11
2026-08-23T22:00:00+02:00,23,183.94,0.1839,18.39
2026-08-23T23:00:00+02:00,24,178.17,0.1782,17.82
