datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-09-11T00:00:00+02:00,1,184.65,0.1846,18.46
2026-09-11T01:00:00+02:00,2,180.72,0.1807,18.07
2026-09-11T02:00:00+02:00,3,171.54,0.1715,17.15
2026-09-11T03:00:00+02:00,4,165.03,0.165,16.5
2026-09-11T04:00:00+02:00,5,167.3,0.1673,16.73
2026-09-11T05:00:00+02:00,6,176.31,0.1763,17.63
2026-09-11T06:00:00+02:00,7,203.66,0.2037,20.37
2026-09-11T07:00:00+02:00,8,223.27,0.2233,22.33
2026-09-11T08:00:00+02:00,9,215.11,0.2151,21.51
2026-09-11T09:00:00+02:00,10,197.56,0.1976,19.76
2026-09-11T10:00:00+02:00,11,179.69,0.1797,17.97
2026-09-11T11:00:00+02:00,12,186.35,0.1864,18.64
2026-09-11T12:00:00+02:00,13,175.65,0.1757,17.57
2026-09-11T13:00:00+02:00,14,159.26,0.1593,15.93
2026-09-11T14:00:00+02:00,15,155.26,0.1553,15.53
2026-09-11T15:00:00+02:00,16,179.34,0.1793,17.93
2026-09-11T16:00:00+02:00,17,175.48,0.1755,17.55
2026-09-11T17:00:00+02:00,18,200.92,0.2009,20.09
2026-09-11T18:00:00+02:00,19,248.51,0.2485,24.85
2026-09-11T19:00:00+02:00,20,292.64,0.2926,29.26
2026-09-11T20:00:00+02:00,21,281.04,0.281,28.1
2026-09-11T21:00:00+02:00,22,243.9,0.2439,24.39
2026-09-11T22:00:00+02:00,23,224.96,0.225,22.5
2026-09-11T23:00:00+02:00,24,204.69,0.2047,20.47
