datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-08-07T00:00:00+02:00,1,152.31,0.1523,15.23
2026-08-07T01:00:00+02:00,2,140.04,0.14,14.0
2026-08-07T02:00:00+02:00,3,130.92,0.1309,13.09
2026-08-07T03:00:00+02:00,4,127.83,0.1278,12.78
2026-08-07T04:00:00+02:00,5,130.21,0.1302,13.02
2026-08-07T05:00:00+02:00,6,139.58,0.1396,13.96
2026-08-07T06:00:00+02:00,7,157.65,0.1577,15.77
2026-08-07T07:00:00+02:00,8,154.78,0.1548,15.48
2026-08-07T08:00:00+02:00,9,145.93,0.1459,14.59
2026-08-07T09:00:00+02:00,10,125.37,0.1254,12.54
2026-08-07T10:00:00+02:00,11,96.11,0.0961,9.61
2026-08-07T11:00:00+02:00,12,61.16,0.0612,6.12
2026-08-07T12:00:00+02:00,13,42.94,0.0429,4.29
2026-08-07T13:00:00+02:00,14,36.12,0.0361,3.61
2026-08-07T14:00:00+02:00,15,38.53,0.0385,3.85
2026-08-07T15:00:00+02:00,16,58.39,0.0584,5.84
2026-08-07T16:00:00+02:00,17,78.62,0.0786,7.86
2026-08-07T17:00:00+02:00,18,112.26,0.1123,11.23
2026-08-07T18:00:00+02:00,19,138.44,0.1384,13.84
2026-08-07T19:00:00+02:00,20,164.86,0.1649,16.49
2026-08-07T20:00:00+02:00,21,175.78,0.1758,17.58
2026-08-07T21:00:00+02:00,22,180.96,0.181,18.1
2026-08-07T22:00:00+02:00,23,172.95,0.1729,17.29
2026-08-07T23:00:00+02:00,24,163.65,0.1637,16.37
