datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-09-27T00:00:00+02:00,1,183.57,0.1836,18.36
2026-09-27T01:00:00+02:00,2,178.31,0.1783,17.83
2026-09-27T02:00:00+02:00,3,171.34,0.1713,17.13
2026-09-27T03:00:00+02:00,4,166.43,0.1664,16.64
2026-09-27T04:00:00+02:00,5,161.57,0.1616,16.16
2026-09-27T05:00:00+02:00,6,158.67,0.1587,15.87
2026-09-27T06:00:00+02:00,7,159.72,0.1597,15.97
2026-09-27T07:00:00+02:00,8,152.32,0.1523,15.23
2026-09-27T08:00:00+02:00,9,131.38,0.1314,13.14
2026-09-27T09:00:00+02:00,10,66.33,0.0663,6.63
2026-09-27T10:00:00+02:00,11,24.49,0.0245,2.45
2026-09-27T11:00:00+02:00,12,0.56,0.0006,0.06
2026-09-27T12:00:00+02:00,13,1.57,0.0016,0.16
2026-09-27T13:00:00+02:00,14,0.45,0.0004,0.04
2026-09-27T14:00:00+02:00,15,0.44,0.0004,0.04
2026-09-27T15:00:00+02:00,16,-0.01,-0.0,-0.0
2026-09-27T16:00:00+02:00,17,17.47,0.0175,1.75
2026-09-27T17:00:00+02:00,18,114.81,0.1148,11.48
2026-09-27T18:00:00+02:00,19,189.91,0.1899,18.99
2026-09-27T19:00:00+02:00,20,201.88,0.2019,20.19
2026-09-27T20:00:00+02:00,21,198.16,0.1982,19.82
2026-09-27T21:00:00+02:00,22,183.62,0.1836,18.36
2026-09-27T22:00:00+02:00,23,174.07,0.1741,17.41
2026-09-27T23:00:00+02:00,24,161.64,0.1616,16.16
