datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-23T00:00:00+02:00,1,94.3,0.0943,9.43
2026-04-23T01:00:00+02:00,2,87.08,0.0871,8.71
2026-04-23T02:00:00+02:00,3,85.16,0.0852,8.52
2026-04-23T03:00:00+02:00,4,83.92,0.0839,8.39
2026-04-23T04:00:00+02:00,5,84.87,0.0849,8.49
2026-04-23T05:00:00+02:00,6,91.67,0.0917,9.17
2026-04-23T06:00:00+02:00,7,112.32,0.1123,11.23
2026-04-23T07:00:00+02:00,8,120.21,0.1202,12.02
2026-04-23T08:00:00+02:00,9,133.5,0.1335,13.35
2026-04-23T09:00:00+02:00,10,90.09,0.0901,9.01
2026-04-23T10:00:00+02:00,11,7.1,0.0071,0.71
2026-04-23T11:00:00+02:00,12,-3.46,-0.0035,-0.35
2026-04-23T12:00:00+02:00,13,-28.07,-0.0281,-2.81
2026-04-23T13:00:00+02:00,14,-49.22,-0.0492,-4.92
2026-04-23T14:00:00+02:00,15,-48.37,-0.0484,-4.84
2026-04-23T15:00:00+02:00,16,-22.4,-0.0224,-2.24
2026-04-23T16:00:00+02:00,17,-1.84,-0.0018,-0.18
2026-04-23T17:00:00+02:00,18,23.23,0.0232,2.32
2026-04-23T18:00:00+02:00,19,77.07,0.0771,7.71
2026-04-23T19:00:00+02:00,20,105.68,0.1057,10.57
2026-04-23T20:00:00+02:00,21,114.47,0.1145,11.45
2026-04-23T21:00:00+02:00,22,111.09,0.1111,11.11
2026-04-23T22:00:00+02:00,23,106.19,0.1062,10.62
2026-04-23T23:00:00+02:00,24,94.88,0.0949,9.49
