datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-28T00:00:00+02:00,1,101.16,0.1012,10.12
2026-04-28T01:00:00+02:00,2,94.91,0.0949,9.49
2026-04-28T02:00:00+02:00,3,87.13,0.0871,8.71
2026-04-28T03:00:00+02:00,4,85.46,0.0855,8.55
2026-04-28T04:00:00+02:00,5,85.21,0.0852,8.52
2026-04-28T05:00:00+02:00,6,90.33,0.0903,9.03
2026-04-28T06:00:00+02:00,7,102.25,0.1023,10.23
2026-04-28T07:00:00+02:00,8,108.89,0.1089,10.89
2026-04-28T08:00:00+02:00,9,106.91,0.1069,10.69
2026-04-28T09:00:00+02:00,10,74.45,0.0745,7.45
2026-04-28T10:00:00+02:00,11,21.39,0.0214,2.14
2026-04-28T11:00:00+02:00,12,-0.58,-0.0006,-0.06
2026-04-28T12:00:00+02:00,13,0.27,0.0003,0.03
2026-04-28T13:00:00+02:00,14,-23.57,-0.0236,-2.36
2026-04-28T14:00:00+02:00,15,-9.36,-0.0094,-0.94
2026-04-28T15:00:00+02:00,16,-6.83,-0.0068,-0.68
2026-04-28T16:00:00+02:00,17,-3.71,-0.0037,-0.37
2026-04-28T17:00:00+02:00,18,25.6,0.0256,2.56
2026-04-28T18:00:00+02:00,19,76.17,0.0762,7.62
2026-04-28T19:00:00+02:00,20,100.39,0.1004,10.04
2026-04-28T20:00:00+02:00,21,99.43,0.0994,9.94
2026-04-28T21:00:00+02:00,22,91.97,0.092,9.2
2026-04-28T22:00:00+02:00,23,88.24,0.0882,8.82
2026-04-28T23:00:00+02:00,24,78.15,0.0782,7.82
