datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-24T00:00:00+02:00,1,90.02,0.09,9.0
2026-04-24T01:00:00+02:00,2,93.84,0.0938,9.38
2026-04-24T02:00:00+02:00,3,95.58,0.0956,9.56
2026-04-24T03:00:00+02:00,4,97.08,0.0971,9.71
2026-04-24T04:00:00+02:00,5,94.69,0.0947,9.47
2026-04-24T05:00:00+02:00,6,101.42,0.1014,10.14
2026-04-24T06:00:00+02:00,7,121.7,0.1217,12.17
2026-04-24T07:00:00+02:00,8,140.93,0.1409,14.09
2026-04-24T08:00:00+02:00,9,143.02,0.143,14.3
2026-04-24T09:00:00+02:00,10,120.0,0.12,12.0
2026-04-24T10:00:00+02:00,11,28.77,0.0288,2.88
2026-04-24T11:00:00+02:00,12,-0.04,-0.0,-0.0
2026-04-24T12:00:00+02:00,13,-6.91,-0.0069,-0.69
2026-04-24T13:00:00+02:00,14,-26.08,-0.0261,-2.61
2026-04-24T14:00:00+02:00,15,-29.89,-0.0299,-2.99
2026-04-24T15:00:00+02:00,16,-16.52,-0.0165,-1.65
2026-04-24T16:00:00+02:00,17,-1.58,-0.0016,-0.16
2026-04-24T17:00:00+02:00,18,40.5,0.0405,4.05
2026-04-24T18:00:00+02:00,19,98.82,0.0988,9.88
2026-04-24T19:00:00+02:00,20,135.2,0.1352,13.52
2026-04-24T20:00:00+02:00,21,160.8,0.1608,16.08
2026-04-24T21:00:00+02:00,22,161.3,0.1613,16.13
2026-04-24T22:00:00+02:00,23,134.94,0.1349,13.49
2026-04-24T23:00:00+02:00,24,121.84,0.1218,12.18
