datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-07-30T00:00:00+02:00,1,149.75,0.1498,14.98
2026-07-30T01:00:00+02:00,2,142.38,0.1424,14.24
2026-07-30T02:00:00+02:00,3,140.0,0.14,14.0
2026-07-30T03:00:00+02:00,4,133.02,0.133,13.3
2026-07-30T04:00:00+02:00,5,130.92,0.1309,13.09
2026-07-30T05:00:00+02:00,6,136.05,0.136,13.6
2026-07-30T06:00:00+02:00,7,148.37,0.1484,14.84
2026-07-30T07:00:00+02:00,8,148.72,0.1487,14.87
2026-07-30T08:00:00+02:00,9,140.81,0.1408,14.08
2026-07-30T09:00:00+02:00,10,120.0,0.12,12.0
2026-07-30T10:00:00+02:00,11,90.62,0.0906,9.06
2026-07-30T11:00:00+02:00,12,51.21,0.0512,5.12
2026-07-30T12:00:00+02:00,13,69.45,0.0694,6.94
2026-07-30T13:00:00+02:00,14,98.44,0.0984,9.84
2026-07-30T14:00:00+02:00,15,133.22,0.1332,13.32
2026-07-30T15:00:00+02:00,16,116.13,0.1161,11.61
2026-07-30T16:00:00+02:00,17,116.58,0.1166,11.66
2026-07-30T17:00:00+02:00,18,133.11,0.1331,13.31
2026-07-30T18:00:00+02:00,19,145.64,0.1456,14.56
2026-07-30T19:00:00+02:00,20,172.41,0.1724,17.24
2026-07-30T20:00:00+02:00,21,193.8,0.1938,19.38
2026-07-30T21:00:00+02:00,22,196.53,0.1965,19.65
2026-07-30T22:00:00+02:00,23,190.3,0.1903,19.03
2026-07-30T23:00:00+02:00,24,170.83,0.1708,17.08
