datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-18T00:00:00+02:00,1,127.21,0.1272,12.72
2026-05-18T01:00:00+02:00,2,120.44,0.1204,12.04
2026-05-18T02:00:00+02:00,3,120.22,0.1202,12.02
2026-05-18T03:00:00+02:00,4,120.12,0.1201,12.01
2026-05-18T04:00:00+02:00,5,123.03,0.123,12.3
2026-05-18T05:00:00+02:00,6,130.23,0.1302,13.02
2026-05-18T06:00:00+02:00,7,145.56,0.1456,14.56
2026-05-18T07:00:00+02:00,8,161.06,0.1611,16.11
2026-05-18T08:00:00+02:00,9,177.88,0.1779,17.79
2026-05-18T09:00:00+02:00,10,143.82,0.1438,14.38
2026-05-18T10:00:00+02:00,11,126.16,0.1262,12.62
2026-05-18T11:00:00+02:00,12,106.88,0.1069,10.69
2026-05-18T12:00:00+02:00,13,99.28,0.0993,9.93
2026-05-18T13:00:00+02:00,14,90.05,0.09,9.0
2026-05-18T14:00:00+02:00,15,90.1,0.0901,9.01
2026-05-18T15:00:00+02:00,16,101.13,0.1011,10.11
2026-05-18T16:00:00+02:00,17,102.25,0.1022,10.22
2026-05-18T17:00:00+02:00,18,121.85,0.1218,12.19
2026-05-18T18:00:00+02:00,19,137.47,0.1375,13.75
2026-05-18T19:00:00+02:00,20,169.38,0.1694,16.94
2026-05-18T20:00:00+02:00,21,212.33,0.2123,21.23
2026-05-18T21:00:00+02:00,22,191.56,0.1916,19.16
2026-05-18T22:00:00+02:00,23,151.39,0.1514,15.14
2026-05-18T23:00:00+02:00,24,137.78,0.1378,13.78
