datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-05-29T00:00:00+02:00,1,142.91,0.1429,14.29
2026-05-29T01:00:00+02:00,2,132.86,0.1329,13.29
2026-05-29T02:00:00+02:00,3,126.39,0.1264,12.64
2026-05-29T03:00:00+02:00,4,123.67,0.1237,12.37
2026-05-29T04:00:00+02:00,5,122.21,0.1222,12.22
2026-05-29T05:00:00+02:00,6,124.04,0.124,12.4
2026-05-29T06:00:00+02:00,7,130.7,0.1307,13.07
2026-05-29T07:00:00+02:00,8,125.99,0.126,12.6
2026-05-29T08:00:00+02:00,9,119.07,0.1191,11.91
2026-05-29T09:00:00+02:00,10,105.06,0.1051,10.51
2026-05-29T10:00:00+02:00,11,23.56,0.0236,2.36
2026-05-29T11:00:00+02:00,12,4.29,0.0043,0.43
2026-05-29T12:00:00+02:00,13,1.25,0.0013,0.13
2026-05-29T13:00:00+02:00,14,0.44,0.0004,0.04
2026-05-29T14:00:00+02:00,15,1.73,0.0017,0.17
2026-05-29T15:00:00+02:00,16,21.36,0.0214,2.14
2026-05-29T16:00:00+02:00,17,109.68,0.1097,10.97
2026-05-29T17:00:00+02:00,18,109.26,0.1093,10.93
2026-05-29T18:00:00+02:00,19,132.47,0.1325,13.25
2026-05-29T19:00:00+02:00,20,169.4,0.1694,16.94
2026-05-29T20:00:00+02:00,21,189.44,0.1894,18.94
2026-05-29T21:00:00+02:00,22,182.0,0.182,18.2
2026-05-29T22:00:00+02:00,23,159.92,0.1599,15.99
2026-05-29T23:00:00+02:00,24,146.25,0.1462,14.62
