datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-06-25T00:00:00+02:00,1,168.86,0.1689,16.89
2026-06-25T01:00:00+02:00,2,151.79,0.1518,15.18
2026-06-25T02:00:00+02:00,3,138.0,0.138,13.8
2026-06-25T03:00:00+02:00,4,135.95,0.136,13.6
2026-06-25T04:00:00+02:00,5,135.1,0.1351,13.51
2026-06-25T05:00:00+02:00,6,136.42,0.1364,13.64
2026-06-25T06:00:00+02:00,7,160.45,0.1605,16.05
2026-06-25T07:00:00+02:00,8,145.91,0.1459,14.59
2026-06-25T08:00:00+02:00,9,120.55,0.1205,12.05
2026-06-25T09:00:00+02:00,10,105.01,0.105,10.5
2026-06-25T10:00:00+02:00,11,89.25,0.0893,8.93
2026-06-25T11:00:00+02:00,12,91.21,0.0912,9.12
2026-06-25T12:00:00+02:00,13,72.45,0.0725,7.25
2026-06-25T13:00:00+02:00,14,66.42,0.0664,6.64
2026-06-25T14:00:00+02:00,15,73.38,0.0734,7.34
2026-06-25T15:00:00+02:00,16,87.3,0.0873,8.73
2026-06-25T16:00:00+02:00,17,91.95,0.0919,9.19
2026-06-25T17:00:00+02:00,18,107.81,0.1078,10.78
2026-06-25T18:00:00+02:00,19,134.86,0.1349,13.49
2026-06-25T19:00:00+02:00,20,204.18,0.2042,20.42
2026-06-25T20:00:00+02:00,21,297.27,0.2973,29.73
2026-06-25T21:00:00+02:00,22,280.86,0.2809,28.09
2026-06-25T22:00:00+02:00,23,188.96,0.189,18.9
2026-06-25T23:00:00+02:00,24,163.03,0.163,16.3
