datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-05T00:00:00+02:00,1,1.74,0.0017,0.17
2026-04-05T01:00:00+02:00,2,1.39,0.0014,0.14
2026-04-05T02:00:00+02:00,3,-0.14,-0.0001,-0.01
2026-04-05T03:00:00+02:00,4,-0.25,-0.0002,-0.02
2026-04-05T04:00:00+02:00,5,-0.77,-0.0008,-0.08
2026-04-05T05:00:00+02:00,6,-0.71,-0.0007,-0.07
2026-04-05T06:00:00+02:00,7,-0.73,-0.0007,-0.07
2026-04-05T07:00:00+02:00,8,-0.52,-0.0005,-0.05
2026-04-05T08:00:00+02:00,9,-1.41,-0.0014,-0.14
2026-04-05T09:00:00+02:00,10,-6.4,-0.0064,-0.64
2026-04-05T10:00:00+02:00,11,-23.19,-0.0232,-2.32
2026-04-05T11:00:00+02:00,12,-42.91,-0.0429,-4.29
2026-04-05T12:00:00+02:00,13,-52.3,-0.0523,-5.23
2026-04-05T13:00:00+02:00,14,-69.92,-0.0699,-6.99
2026-04-05T14:00:00+02:00,15,-79.29,-0.0793,-7.93
2026-04-05T15:00:00+02:00,16,-59.88,-0.0599,-5.99
2026-04-05T16:00:00+02:00,17,-29.17,-0.0292,-2.92
2026-04-05T17:00:00+02:00,18,-5.32,-0.0053,-0.53
2026-04-05T18:00:00+02:00,19,1.71,0.0017,0.17
2026-04-05T19:00:00+02:00,20,42.35,0.0423,4.23
2026-04-05T20:00:00+02:00,21,75.07,0.0751,7.51
2026-04-05T21:00:00+02:00,22,92.96,0.093,9.3
2026-04-05T22:00:00+02:00,23,91.53,0.0915,9.15
2026-04-05T23:00:00+02:00,24,67.48,0.0675,6.75
