datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-30T00:00:00+02:00,1,80.62,0.0806,8.06
2026-04-30T01:00:00+02:00,2,78.95,0.0789,7.89
2026-04-30T02:00:00+02:00,3,77.38,0.0774,7.74
2026-04-30T03:00:00+02:00,4,74.61,0.0746,7.46
2026-04-30T04:00:00+02:00,5,79.02,0.079,7.9
2026-04-30T05:00:00+02:00,6,87.03,0.087,8.7
2026-04-30T06:00:00+02:00,7,91.44,0.0914,9.14
2026-04-30T07:00:00+02:00,8,98.73,0.0987,9.87
2026-04-30T08:00:00+02:00,9,74.31,0.0743,7.43
2026-04-30T09:00:00+02:00,10,36.32,0.0363,3.63
2026-04-30T10:00:00+02:00,11,-0.0,-0.0,-0.0
2026-04-30T11:00:00+02:00,12,-3.26,-0.0033,-0.33
2026-04-30T12:00:00+02:00,13,-13.59,-0.0136,-1.36
2026-04-30T13:00:00+02:00,14,-31.25,-0.0312,-3.12
2026-04-30T14:00:00+02:00,15,-27.33,-0.0273,-2.73
2026-04-30T15:00:00+02:00,16,-11.31,-0.0113,-1.13
2026-04-30T16:00:00+02:00,17,-1.71,-0.0017,-0.17
2026-04-30T17:00:00+02:00,18,17.16,0.0172,1.72
2026-04-30T18:00:00+02:00,19,76.4,0.0764,7.64
2026-04-30T19:00:00+02:00,20,124.29,0.1243,12.43
2026-04-30T20:00:00+02:00,21,143.07,0.1431,14.31
2026-04-30T21:00:00+02:00,22,116.55,0.1165,11.65
2026-04-30T22:00:00+02:00,23,109.89,0.1099,10.99
2026-04-30T23:00:00+02:00,24,101.61,0.1016,10.16
