datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-03-19T00:00:00+01:00,1,101.58,0.1016,10.16
2026-03-19T01:00:00+01:00,2,104.34,0.1043,10.43
2026-03-19T02:00:00+01:00,3,104.85,0.1049,10.49
2026-03-19T03:00:00+01:00,4,105.75,0.1057,10.57
2026-03-19T04:00:00+01:00,5,112.75,0.1127,11.27
2026-03-19T05:00:00+01:00,6,122.31,0.1223,12.23
2026-03-19T06:00:00+01:00,7,144.01,0.144,14.4
2026-03-19T07:00:00+01:00,8,165.95,0.1659,16.59
2026-03-19T08:00:00+01:00,9,137.5,0.1375,13.75
2026-03-19T09:00:00+01:00,10,81.08,0.0811,8.11
2026-03-19T10:00:00+01:00,11,46.63,0.0466,4.66
2026-03-19T11:00:00+01:00,12,6.03,0.006,0.6
2026-03-19T12:00:00+01:00,13,0.39,0.0004,0.04
2026-03-19T13:00:00+01:00,14,3.33,0.0033,0.33
2026-03-19T14:00:00+01:00,15,34.79,0.0348,3.48
2026-03-19T15:00:00+01:00,16,64.8,0.0648,6.48
2026-03-19T16:00:00+01:00,17,96.2,0.0962,9.62
2026-03-19T17:00:00+01:00,18,122.96,0.123,12.3
2026-03-19T18:00:00+01:00,19,185.85,0.1859,18.59
2026-03-19T19:00:00+01:00,20,164.41,0.1644,16.44
2026-03-19T20:00:00+01:00,21,142.69,0.1427,14.27
2026-03-19T21:00:00+01:00,22,128.71,0.1287,12.87
2026-03-19T22:00:00+01:00,23,117.12,0.1171,11.71
2026-03-19T23:00:00+01:00,24,113.06,0.1131,11.31
