datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-09-21T00:00:00+02:00,1,234.86,0.2349,23.49
2026-09-21T01:00:00+02:00,2,201.73,0.2017,20.17
2026-09-21T02:00:00+02:00,3,182.82,0.1828,18.28
2026-09-21T03:00:00+02:00,4,176.86,0.1769,17.69
2026-09-21T04:00:00+02:00,5,172.89,0.1729,17.29
2026-09-21T05:00:00+02:00,6,177.05,0.177,17.7
2026-09-21T06:00:00+02:00,7,198.87,0.1989,19.89
2026-09-21T07:00:00+02:00,8,240.53,0.2405,24.05
2026-09-21T08:00:00+02:00,9,257.93,0.2579,25.79
2026-09-21T09:00:00+02:00,10,211.92,0.2119,21.19
2026-09-21T10:00:00+02:00,11,113.1,0.1131,11.31
2026-09-21T11:00:00+02:00,12,57.13,0.0571,5.71
2026-09-21T12:00:00+02:00,13,36.34,0.0363,3.63
2026-09-21T13:00:00+02:00,14,24.54,0.0245,2.45
2026-09-21T14:00:00+02:00,15,29.68,0.0297,2.97
2026-09-21T15:00:00+02:00,16,42.53,0.0425,4.25
2026-09-21T16:00:00+02:00,17,86.69,0.0867,8.67
2026-09-21T17:00:00+02:00,18,150.28,0.1503,15.03
2026-09-21T18:00:00+02:00,19,215.66,0.2157,21.57
2026-09-21T19:00:00+02:00,20,243.73,0.2437,24.37
2026-09-21T20:00:00+02:00,21,241.02,0.241,24.1
2026-09-21T21:00:00+02:00,22,218.31,0.2183,21.83
2026-09-21T22:00:00+02:00,23,206.23,0.2062,20.62
2026-09-21T23:00:00+02:00,24,185.69,0.1857,18.57
