datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-06T00:00:00+02:00,1,65.82,0.0658,6.58
2026-04-06T01:00:00+02:00,2,54.86,0.0549,5.49
2026-04-06T02:00:00+02:00,3,54.61,0.0546,5.46
2026-04-06T03:00:00+02:00,4,59.91,0.0599,5.99
2026-04-06T04:00:00+02:00,5,71.69,0.0717,7.17
2026-04-06T05:00:00+02:00,6,64.34,0.0643,6.43
2026-04-06T06:00:00+02:00,7,57.9,0.0579,5.79
2026-04-06T07:00:00+02:00,8,68.39,0.0684,6.84
2026-04-06T08:00:00+02:00,9,65.56,0.0656,6.56
2026-04-06T09:00:00+02:00,10,27.27,0.0273,2.73
2026-04-06T10:00:00+02:00,11,-12.19,-0.0122,-1.22
2026-04-06T11:00:00+02:00,12,-38.87,-0.0389,-3.89
2026-04-06T12:00:00+02:00,13,-61.83,-0.0618,-6.18
2026-04-06T13:00:00+02:00,14,-102.91,-0.1029,-10.29
2026-04-06T14:00:00+02:00,15,-99.0,-0.099,-9.9
2026-04-06T15:00:00+02:00,16,-70.81,-0.0708,-7.08
2026-04-06T16:00:00+02:00,17,-20.17,-0.0202,-2.02
2026-04-06T17:00:00+02:00,18,19.0,0.019,1.9
2026-04-06T18:00:00+02:00,19,93.5,0.0935,9.35
2026-04-06T19:00:00+02:00,20,143.68,0.1437,14.37
2026-04-06T20:00:00+02:00,21,125.43,0.1254,12.54
2026-04-06T21:00:00+02:00,22,109.94,0.1099,10.99
2026-04-06T22:00:00+02:00,23,106.83,0.1068,10.68
2026-04-06T23:00:00+02:00,24,101.41,0.1014,10.14
