datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-02-26T00:00:00+01:00,1,67.62,0.0676,6.76
2026-02-26T01:00:00+01:00,2,62.49,0.0625,6.25
2026-02-26T02:00:00+01:00,3,58.43,0.0584,5.84
2026-02-26T03:00:00+01:00,4,56.98,0.057,5.7
2026-02-26T04:00:00+01:00,5,56.38,0.0564,5.64
2026-02-26T05:00:00+01:00,6,63.4,0.0634,6.34
2026-02-26T06:00:00+01:00,7,83.16,0.0832,8.32
2026-02-26T07:00:00+01:00,8,100.94,0.1009,10.09
2026-02-26T08:00:00+01:00,9,94.48,0.0945,9.45
2026-02-26T09:00:00+01:00,10,71.02,0.071,7.1
2026-02-26T10:00:00+01:00,11,63.28,0.0633,6.33
2026-02-26T11:00:00+01:00,12,43.71,0.0437,4.37
2026-02-26T12:00:00+01:00,13,15.38,0.0154,1.54
2026-02-26T13:00:00+01:00,14,10.58,0.0106,1.06
2026-02-26T14:00:00+01:00,15,33.6,0.0336,3.36
2026-02-26T15:00:00+01:00,16,54.17,0.0542,5.42
2026-02-26T16:00:00+01:00,17,71.92,0.0719,7.19
2026-02-26T17:00:00+01:00,18,88.44,0.0884,8.84
2026-02-26T18:00:00+01:00,19,94.14,0.0941,9.41
2026-02-26T19:00:00+01:00,20,102.04,0.102,10.2
2026-02-26T20:00:00+01:00,21,83.17,0.0832,8.32
2026-02-26T21:00:00+01:00,22,76.96,0.077,7.7
2026-02-26T22:00:00+01:00,23,67.09,0.0671,6.71
2026-02-26T23:00:00+01:00,24,58.57,0.0586,5.86
