datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-07-28T00:00:00+02:00,1,160.89,0.1609,16.09
2026-07-28T01:00:00+02:00,2,148.8,0.1488,14.88
2026-07-28T02:00:00+02:00,3,142.11,0.1421,14.21
2026-07-28T03:00:00+02:00,4,133.61,0.1336,13.36
2026-07-28T04:00:00+02:00,5,134.31,0.1343,13.43
2026-07-28T05:00:00+02:00,6,146.94,0.1469,14.69
2026-07-28T06:00:00+02:00,7,161.4,0.1614,16.14
2026-07-28T07:00:00+02:00,8,162.58,0.1626,16.26
2026-07-28T08:00:00+02:00,9,157.54,0.1575,15.75
2026-07-28T09:00:00+02:00,10,144.97,0.145,14.5
2026-07-28T10:00:00+02:00,11,78.46,0.0785,7.85
2026-07-28T11:00:00+02:00,12,5.89,0.0059,0.59
2026-07-28T12:00:00+02:00,13,0.32,0.0003,0.03
2026-07-28T13:00:00+02:00,14,0.24,0.0002,0.02
2026-07-28T14:00:00+02:00,15,2.73,0.0027,0.27
2026-07-28T15:00:00+02:00,16,3.34,0.0033,0.33
2026-07-28T16:00:00+02:00,17,38.55,0.0386,3.86
2026-07-28T17:00:00+02:00,18,104.0,0.104,10.4
2026-07-28T18:00:00+02:00,19,152.76,0.1528,15.28
2026-07-28T19:00:00+02:00,20,189.47,0.1895,18.95
2026-07-28T20:00:00+02:00,21,213.44,0.2134,21.34
2026-07-28T21:00:00+02:00,22,209.93,0.2099,20.99
2026-07-28T22:00:00+02:00,23,193.96,0.194,19.4
2026-07-28T23:00:00+02:00,24,167.75,0.1677,16.77
