datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-04-26T00:00:00+02:00,1,85.19,0.0852,8.52
2026-04-26T01:00:00+02:00,2,81.7,0.0817,8.17
2026-04-26T02:00:00+02:00,3,108.21,0.1082,10.82
2026-04-26T03:00:00+02:00,4,131.4,0.1314,13.14
2026-04-26T04:00:00+02:00,5,137.51,0.1375,13.75
2026-04-26T05:00:00+02:00,6,121.91,0.1219,12.19
2026-04-26T06:00:00+02:00,7,133.48,0.1335,13.35
2026-04-26T07:00:00+02:00,8,188.24,0.1882,18.82
2026-04-26T08:00:00+02:00,9,92.1,0.0921,9.21
2026-04-26T09:00:00+02:00,10,0.69,0.0007,0.07
2026-04-26T10:00:00+02:00,11,-28.19,-0.0282,-2.82
2026-04-26T11:00:00+02:00,12,-127.06,-0.1271,-12.71
2026-04-26T12:00:00+02:00,13,-259.6,-0.2596,-25.96
2026-04-26T13:00:00+02:00,14,-413.12,-0.4131,-41.31
2026-04-26T14:00:00+02:00,15,-412.64,-0.4126,-41.26
2026-04-26T15:00:00+02:00,16,-235.21,-0.2352,-23.52
2026-04-26T16:00:00+02:00,17,-37.18,-0.0372,-3.72
2026-04-26T17:00:00+02:00,18,11.26,0.0113,1.13
2026-04-26T18:00:00+02:00,19,113.09,0.1131,11.31
2026-04-26T19:00:00+02:00,20,152.46,0.1525,15.25
2026-04-26T20:00:00+02:00,21,160.49,0.1605,16.05
2026-04-26T21:00:00+02:00,22,142.29,0.1423,14.23
2026-04-26T22:00:00+02:00,23,126.19,0.1262,12.62
2026-04-26T23:00:00+02:00,24,117.42,0.1174,11.74
